"","participant_num","rowNo","type","stim1","color","key","condition1","condition2","feedback","trialText","stimFormat","ITI","button1","keyboard","random","required","head","responseType","responseOptions","stimSize","string","rarity","color_noncolor","Zipf.SUBTLEX_UK","Length","combined_condition","congruence_condition","1:2","ITI_ms","ITI_f","ITI_fDuration","timestamp","response","RT","correct","responseCode"
"1","1",3,"form",NA,NA,0,NA,NA,NA,NA,NA,0,"NEXT",NA,2,1,"What is your English language READING ability?","radio","Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive","175%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43824,"Native Speaker",31698,0,1
"2","1",4,"form",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,3,1,"What is your Standard Mandarin (普通话) language READING ability?","radio","Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive","175%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43824,"No proficiency",31698,0,5
"3","1",5,"form",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,4,NA,"Are you proficient in or learning any other foreign languages? (Please include the name of the language and your proficiency self-assessment.)","box",NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43824,"Spanish (C1) French (C1)",31698,0,NA
"4","1",12,"test","SEPIA","stim1: green",3,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  GREEN. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,47563,"3",1913,1,NA
"5","1",8,"test","GREEN","stim1: black",1,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLACK. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,71090,"1",1494,1,NA
"6","1",14,"test","NYMPH","stim1: brown",4,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BROWN. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.66,74803,"4",1340,1,NA
"7","1",11,"test","TUSK","stim1: blue",2,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,77655,"2",942,1,NA
"8","1",9,"test","BLUE","stim1: blue",2,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,79447,"2",701,1,NA
"9","1",10,"test","BROWN","stim1: green",3,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  GREEN. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,81379,"3",816,1,NA
"10","1",13,"test","IRK","stim1: brown",4,"practice",NA,"correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BROWN. You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>","word",400,NA,"1 2 3 4",6,NA,NA,NA,NA,"175%",NA,NA,NA,NA,NA,NA,NA,NA,400,24,16.67,83411,"4",699,1,NA
