browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,147.0.0.0,1536,864,Windows,en-GB,2026-04-22_20:46:36,2026-04-22_21:46:36,2026-04-22_19:15:07,https://www.testable.org/experiment/20537/230921/start,228.304

rowNo,type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,head,responseType,responseOptions,stimSize,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"3",form,"","","0","","","","","","0",NEXT,"","2","1",What is your English language READING ability?,radio,Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive,175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",51006,Native Speaker,29751,"0","1"
"4",form,"","","0","","","","","","0","","","3","1",What is your Standard Mandarin (普通话) language READING ability?,radio,Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive,175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",51006,No proficiency,29751,"0","5"
"5",form,"","","0","","","","","","0","","","4","",Are you proficient in or learning any other foreign languages? (Please include the name of the language and your proficiency self-assessment.),box,"",175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",51006,Spanish A1,29751,"0",NA
"7",test,BLACK,stim1: black,"1",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLACK. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,400,24,"16.67",81012,"1",1122,"1",""
"14",test,NYMPH,stim1: brown,"4",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BROWN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,400,24,"16.68",84245,"4",1380,"1",""
"13",test,IRK,stim1: brown,"4",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BROWN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,400,24,"16.68",86495,"4",763,"1",""
"11",test,TUSK,stim1: blue,"2",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,401,24,"16.70",88527,"2",1062,"1",""
"9",test,BLUE,stim1: blue,"2",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,400,24,"16.68",91373,"2",1042,"1",""
"10",test,BROWN,stim1: green,"3",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  GREEN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,401,24,"16.69",93844,"3",929,"1",""
"8",test,GREEN,stim1: black,"1",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLACK. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,400,24,"16.67",96551,"1",1304,"1",""
