browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1536,960,Windows,en-US,2026-04-24_16:33:16,2026-04-24_17:33:16,2026-04-22_19:15:07,https://www.testable.org/experiment/20537/230921/start,172.512

rowNo,type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,head,responseType,responseOptions,stimSize,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"3",form,"","","0","","","","","","0",NEXT,"","2","1",What is your English language READING ability?,radio,Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive,175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",55518,Native Speaker,13916,"0","1"
"4",form,"","","0","","","","","","0","","","3","1",What is your Standard Mandarin (普通话) language READING ability?,radio,Native Speaker;High Proficiency (CEFR C1-C2);Intermediate Proficiency (CEFR B1-B2);Low Proficiency (CEFR A1-A2);No proficiency:exclusive,175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",55518,No proficiency,13916,"0","5"
"5",form,"","","0","","","","","","0","","","4","",Are you proficient in or learning any other foreign languages? (Please include the name of the language and your proficiency self-assessment.),box,"",175%,NA,NA,NA,NA,NA,NA,NA,NA,,"","",55518,Intermediate French,13916,"0",NA
"7",test,BLACK,stim1: black,"1",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLACK. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.95",61250,"1",1563,"1",""
"9",test,BLUE,stim1: blue,"2",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.94",63993,"2",754,"1",""
"12",test,SEPIA,stim1: green,"3",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  GREEN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.94",65965,"3",442,"1",""
"10",test,BROWN,stim1: green,"3",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  GREEN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.95",68788,"3",1043,"1",""
"14",test,NYMPH,stim1: brown,"4",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BROWN. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.94",70397,"4",506,"1",""
"8",test,GREEN,stim1: black,"1",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLACK. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.94",72298,"1",881,"1",""
"11",test,TUSK,stim1: blue,"2",practice,NA,correct: Correct! You responded in %RT% ms ; incorrect: Incorrect! The font color was  BLUE. You responded in %RT% ms,"Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"6","","","",NA,175%,NA,NA,NA,NA,NA,NA,NA,NA,403,58,"6.94",73875,"2",611,"1",""
