type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,title,content,head,responseType,responseOptions,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,stimSize
instructions,,,0,,,,,,0,NEXT,,1,,Welcome to the experiment,"First, we'd like to collect some information about your language
  background. Please click NEXT and answer the questions on the form.",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
form,,,0,,,,,,0,NEXT,,2,1,,,What is your English language READING ability?,radio,"Native Speaker;
  High Proficiency (CEFR C1-C2);
  Intermediate Proficiency (CEFR B1-B2);
  Low Proficiency (CEFR A1-A2);
  No proficiency:exclusive",NA,NA,NA,NA,NA,NA,NA,NA,175%
form,,,0,,,,,,0,,,3,1,,,What is your Standard Mandarin (普通话) language READING ability?,radio,"Native Speaker;
  High Proficiency (CEFR C1-C2);
  Intermediate Proficiency (CEFR B1-B2);
  Low Proficiency (CEFR A1-A2);
  No proficiency:exclusive",NA,NA,NA,NA,NA,NA,NA,NA,175%
form,,,0,,,,,,0,,,4,,,,"Are you proficient in or learning any other foreign languages? 
  (Please include the name of the language and your proficiency self-assessment.)",box,,NA,NA,NA,NA,NA,NA,NA,NA,175%
instructions,,,0,,,,,,0,NEXT,,5,,Thank you for your survey responses! ,"Let's move on to the experiment. 
  
In this study, you are asked to indicate the FONT COLOR of the text, 
  ignoring the meaning of the word. Please use the keyboard keys 1, 2, 3, and 4 
  to indicate the FONT COLOR of the word presented on the screen:<br><br>
  Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>,
  <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for 
  <span style=""color:brown;"">BROWN</span> <br><br>
  Please answer as accurately and as quickly as possible. 
  Let's do some practice!",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
test,BLACK,stim1: black,1,practice,NA,"correct: Correct! You responded in %RT% ms ; 
incorrect: Incorrect! The font color was 
 BLACK. 
You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE
    </span>, <br>3 for <span style=""color:green;"">GREEN</span>,
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
test,GREEN,stim1: black,1,practice,NA,"correct: Correct! You responded in %RT% ms ; 
incorrect: Incorrect! The font color was 
 BLACK. 
You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE
    </span>, <br>3 for <span style=""color:green;"">GREEN</span>,
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
test,BLUE,stim1: blue,2,practice,NA,"correct: Correct! You responded in %RT% ms ; 
incorrect: Incorrect! The font color was 
 BLUE. 
You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE
    </span>, <br>3 for <span style=""color:green;"">GREEN</span>,
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
test,BROWN,stim1: green,3,practice,NA,"correct: Correct! You responded in %RT% ms ; 
incorrect: Incorrect! The font color was 
 GREEN. 
You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE
    </span>, <br>3 for <span style=""color:green;"">GREEN</span>,
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
test,TUSK,stim1: blue,2,practice,NA,"correct: Correct! You responded in %RT% ms ; 
incorrect: Incorrect! The font color was 
 BLUE. 
You responded in %RT% ms","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE
    </span>, <br>3 for <span style=""color:green;"">GREEN</span>,
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,175%
